clusters,silhouette_score
2,0.03908658611283668
3,-0.00430108285326937
4,-0.002621928354708429
5,0.0012412083594899024
6,0.002276653033856137
7,0.0037428931255573186
8,-0.00914757404645449
9,-0.0006131528466196493
10,-0.006166060015071426
15,-0.014443515940912664
20,-0.012619448909842367
25,-0.012504643581691503
30,-0.012387144453954821
35,-0.012617174577412214
40,-0.014898263388296504
45,-0.008090218331597886
50,-0.01214085670886462
60,-0.015132723615727801
70,-0.013468448108032395
80,-0.012626246025424627
90,-0.011569774255073467
100,-0.017227395433269947
150,-0.013600488083977468
200,-0.004746744650822378
250,-0.0032215453665456516
300,0.0017870608248588286
350,0.0024797277128883175
400,0.00393258293750016
450,0.0089920181762587
500,0.01127026455086367
600,0.01721130319899552
700,0.020634916272375976
800,0.022398041891573933
900,0.03205546086349696
1000,0.029968156817045215
1250,0.037933953964750605
1500,0.0442307674254906
1750,0.04724972509744163
2000,0.048282650630924816
