components,silhouette_score,sse
1,0.5572498449264588,0.0003430120811786603
5,0.21004963494010617,1.6259625116600804
10,0.21341523650937796,12.528623614312355
15,0.2094736741288261,31.5775583573181
20,0.228648154996344,62.57411097439292
25,0.24296041813933772,100.21687497215505
30,0.2466490690906952,144.17571082857242
35,0.25023293028056237,192.30093352223867
40,0.2545719102518744,252.0372178195696
45,0.24843656887778776,311.3550367835843
50,0.25216624424264256,370.91408569173
55,0.24361282189117267,431.64737351067373
60,0.23788301812973886,490.1995144666304
65,0.22454495033880378,556.5879904418047
70,0.22428321385800087,622.3488028090472
75,0.22386223147263368,681.0636490863808
80,0.22712606363757712,751.3587493237417
85,0.22474469907212422,815.9877879611913
90,0.20617790679144457,876.0162850017795
95,0.19848857639385395,939.6125889890845
100,0.20557928269899942,1002.3585882469832
105,0.1871648520086993,1062.5220071952251
110,0.1946813132179395,1127.1811357138388
115,0.189424185715946,1188.6522523393382
120,0.17586756315791732,1251.2734555328757
