components,silhouette_score,sse
1,0.5676193678974986,0.00016218325088748444
5,0.20806364050966514,1.2585008336879897
10,0.20396920407537772,9.487811558061047
15,0.2176025006895539,23.508566842743793
20,0.23123985780943668,47.891752262132435
25,0.23446688519425377,81.3124116637652
30,0.23970827548616674,119.36400473667508
35,0.25359046089796927,153.01459348421932
40,0.2650120598491322,203.05578069918684
45,0.26537336289867025,255.28890359957512
50,0.24703169697165617,308.76092160244826
55,0.23710842927455184,358.440008478724
60,0.24556140592604328,412.9275825488314
65,0.2396076089880498,477.89951749467537
70,0.2383128467417517,533.8060009201153
75,0.2340421314905722,595.3877400644888
80,0.23332024976120794,647.4992524906564
85,0.220042562491978,705.9182502743957
90,0.21691927273644218,767.338753635504
95,0.2138176594275792,830.3329234549396
100,0.20893229768069896,884.2794177045968
105,0.20589533472366572,944.5586743124612
