components,silhouette_score,sse
1,0.553315445244649,0.0005433874796614283
5,0.2074454919522126,1.8902924379500796
10,0.20461686244688013,14.44570749859774
15,0.20494522563896256,35.346890965040565
20,0.22527193199878495,72.06624667878212
25,0.23952327624389194,117.93813940315724
30,0.24602413921294988,164.29967194149623
35,0.25713153502990715,217.32682150632982
40,0.2540065089548759,278.7971580455824
45,0.24527351328674932,345.45381897551295
50,0.24898616174560756,417.83291030554545
55,0.23425539015035446,479.6081975765348
60,0.23231718491099868,537.1370590469644
65,0.22905673156830053,602.112559740855
70,0.22424420742445353,680.2215218671239
75,0.22176125625824594,743.9717695827785
80,0.21572854909728265,810.4042536515201
85,0.20871687805861167,875.5971821575367
90,0.20761984031146863,947.2769294898586
95,0.1985754652702021,1014.9665868103802
100,0.1994399237760596,1072.0545382521707
105,0.1976944251223067,1144.4692255551593
110,0.1897988078033471,1207.4873924686326
115,0.1815706503669224,1272.2896453622363
120,0.17934800303185464,1332.1386119473805
