clusters,silhouette_score,sse
2,0.03729260481556011,5937.4149774241705
3,0.00207262717114272,5848.768448737251
4,0.004639893910689523,5783.223305249412
5,0.00722596971897188,5726.083319229869
6,0.009479414801961208,5675.1167450379435
7,0.01097708837293145,5632.207931868449
8,0.00023068153513698022,5590.375544639108
9,0.0014027681967357214,5554.744152104719
10,-0.008594672129124854,5523.38772771932
15,-8.222594750008752e-05,5388.033922721864
20,0.0052074569476472125,5309.933998506853
25,0.0040069271485976225,5242.869389108583
30,0.0013464437641970428,5189.51098145294
35,0.0031556679266498333,5133.117916354836
40,0.004027493677789151,5102.543927232622
45,0.0014607417266853525,5056.354599543818
50,0.00047720391136497035,5024.066107930559
60,0.003677499135260503,4962.3401067615805
70,0.002930168495227734,4912.605291115708
80,0.003683168300686054,4871.2590827067215
90,0.00725766977375987,4825.6668850966425
100,0.006423480959714974,4791.978284117733
150,0.008793125654308866,4654.497876850788
200,0.013002582666295493,4548.466921509992
250,0.017295872296189275,4455.539975727214
300,0.018288930229665143,4393.883525760354
350,0.01880424595595979,4321.263206181019
400,0.02458403243761306,4267.137807021054
450,0.025907041351433985,4212.685443557532
500,0.02660998133686268,4167.541629098659
600,0.029936610428880843,4073.2119133724873
700,0.03380554452956809,3985.4068388662386
800,0.03639880491965527,3917.1215939208305
900,0.04019450261143881,3845.3429472210605
1000,0.04008589962088636,3780.432765841364
1250,0.04649320847404235,3613.617901112153
1500,0.05525015226299085,3467.642715773623
1750,0.061500253234369494,3326.12641776254
2000,0.06785205708415895,3187.6774576667763
